GroupId;IssueId;GroupName;GroupColor;GroupTitleTextId;GroupAddTextId;GroupAddTextId2;GroupPriority;GroupSimpleName
0;1;Транспорт;DD0D14;12;3;21;20;Транспорт
22;1;Недвижимость;EFE200;30;17;20;30;Недвижимость
67;1;Строительство и ремонт;0056A3;38;2;3;50;Стройка
89;1;Для дома, дачи и семьи;008C92;50;19;16;70;Дом
119;1;Здоровье и красота;DC007C;27;19;16;60;Здоровье
131;1;Отдых, увлечения;E57210;4;19;16;100;Отдых
171;1;Все для бизнеса;009EDF;5;19;16;120;Бизнес
193;1;Обучение и работа;009641;31;19;16;90;Работа
226;1;Доска объявлений;B1A400;22;19;16;310;Д/О
300;1;Поздравления;7682B9;44;19;16;300;Поздр.
583;1;ТВ-Программа;88accb;40;8;11;130;ТВ
584;1;Первая;c0c0c0;41;NULL;NULL;10;Первая
585;1;Последняя;93137E;42;NULL;NULL;140;Посл.
587;1;Спецпроект;93137E;48;NULL;NULL;15;Спецпр.
589;1;Спецпредложение;93137E;49;NULL;NULL;16;Спец-е.
591;5;Б2;C0C0C0;NULL;NULL;NULL;200;БР2
592;6;Б1;C0C0C0;NULL;NULL;NULL;200;БР1
594;1;События, акции, распродажи;93137E;51;NULL;NULL;110;Заметки
598;7;С1;C0C0C0;NULL;NULL;NULL;100;C1
599;8;ВР_Первая;C0C0C0;NULL;NULL;NULL;100;ВР_Первая
600;8;ВР_Контент;C0C0C0;NULL;NULL;NULL;200;ВР_Контент
2034;1;Ритуальные услуги;a1a1a1;22;19;16;115;Р/У
2035;10;Новосел;a1a1a1;NULL;NULL;NULL;200;Новосел
2036;11;Мамочки;a1a1a1;NULL;NULL;NULL;200;Мамочки
2037;12;Первая;a1a1a1;NULL;NULL;NULL;10;Первая
2038;12;Вторая;a1a1a1;NULL;NULL;NULL;20;Вторая
2039;12;Третья;a1a1a1;NULL;NULL;NULL;30;Третья
2040;12;Предпоследняя;a1a1a1;NULL;NULL;NULL;140;Предпоследняя
2041;12;Последняя;a1a1a1;NULL;NULL;NULL;150;Последняя
2042;12;Здоровье;a1a1a1;NULL;NULL;NULL;40;Здоровье
2043;12;Развитие;a1a1a1;NULL;NULL;NULL;50;Развитие
2044;12;Воспитание;a1a1a1;NULL;NULL;NULL;60;Воспитание
2045;12;Образование;a1a1a1;NULL;NULL;NULL;70;Образование
2046;12;Питание;a1a1a1;NULL;NULL;NULL;80;Питание
2047;12;Родители;a1a1a1;NULL;NULL;NULL;90;Родители
2048;12;Фотопроект;a1a1a1;NULL;NULL;NULL;100;Фотопроект
2049;12;Дом и семья;a1a1a1;NULL;NULL;NULL;110;Дом и семья
2050;12;Афиша;a1a1a1;NULL;NULL;NULL;120;Афиша
2051;12;Редакционные материалы;a1a1a1;NULL;NULL;NULL;130;Редакционные материалы
2052;12;Первый разворот;a1a1a1;NULL;NULL;NULL;10;Первый разворот
2053;12;Второй разворот;a1a1a1;NULL;NULL;NULL;10;Второй разворот
2056;1;Редакция рекомендует;54AB42;70;3;21;0;Редакция рекомендует
